flowcell	kit	preset_model	ont_model
FLO-MINSP6	SQK-LSK110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-LSK110-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-LSK111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-LSK111-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-LWP001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-PCS108	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-PCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-PCS111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-PSK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RAD002	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RAD003	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RAD004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RAS201	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RLI001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-ULK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	VSK-VBK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	VSK-VSK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	VSK-VSK003	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	VSK-VSK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-16S024	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-MLK111-96-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-NBD111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-NBD111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-PCB109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-PCB110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-PCB111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RBK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RBK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RBK110-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RBK111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RBK111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RLB001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-LWB001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-PBK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RAB201	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RAB204	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	SQK-RPB004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	VSK-PTC001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	VSK-VMK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	VSK-VPS001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MINSP6	VSK-VMK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO112	SQK-LSK112	_	dna_r10.4_e8.1m
FLO-PRO112	SQK-LSK112-XL	_	dna_r10.4_e8.1m
FLO-PRO112	SQK-RAD112	_	dna_r10.4_e8.1m
FLO-PRO112	SQK-NBD112-24	_	dna_r10.4_e8.1m
FLO-PRO112	SQK-NBD112-96	_	dna_r10.4_e8.1m
FLO-PRO112	SQK-RBK112-24	_	dna_r10.4_e8.1m
FLO-PRO112	SQK-RBK112-96	_	dna_r10.4_e8.1m
FLO-PRO112M	SQK-LSK112	_	dna_r10.4_e8.1m
FLO-PRO112M	SQK-LSK112-XL	_	dna_r10.4_e8.1m
FLO-PRO112M	SQK-RAD112	_	dna_r10.4_e8.1m
FLO-PRO112M	SQK-NBD112-24	_	dna_r10.4_e8.1m
FLO-PRO112M	SQK-NBD112-96	_	dna_r10.4_e8.1m
FLO-PRO112M	SQK-RBK112-24	_	dna_r10.4_e8.1m
FLO-PRO112M	SQK-RBK112-96	_	dna_r10.4_e8.1m
FLO-FLG111	SQK-CS9109	_	dna_r10.3_450bps
FLO-FLG111	SQK-DCS108	_	dna_r10.3_450bps
FLO-FLG111	SQK-DCS109	_	dna_r10.3_450bps
FLO-FLG111	SQK-LRK001	_	dna_r10.3_450bps
FLO-FLG111	SQK-LSK108	_	dna_r10.3_450bps
FLO-FLG111	SQK-LSK109	_	dna_r10.3_450bps
FLO-FLG111	SQK-LSK109-XL	_	dna_r10.3_450bps
FLO-FLG111	SQK-LSK110	_	dna_r10.3_450bps
FLO-FLG111	SQK-LSK110-XL	_	dna_r10.3_450bps
FLO-FLG111	SQK-LWP001	_	dna_r10.3_450bps
